,topic0,topic1,topic2,topic3,number
Knarzer Beat C,0.001818689369960585,0.0016858395130814048,0.9948096316038767,0.0016858395130814048,2
Knarzer Beat L,0.001810863739472221,0.0016854653225386747,0.9948182056154504,0.0016854653225386747,2
Knarzer Beat K,0.0018189671204864172,0.0016858837013527515,0.9948092654768081,0.0016858837013527515,2
Hard Beat B,0.9948123415219728,0.0016857804577600519,0.0018160975625068766,0.0016857804577600519,0
Hard Beat C,0.9948086254592434,0.0016856155738581026,0.0018201433930402106,0.0016856155738581026,0
