,topic0,topic1,topic2,topic3,number
Tchacka Beat S,0.0017035065711738472,0.0017153387798631962,0.0016788488074395678,0.9949023058415234,3
Knarzer Beat I,0.9946814335463845,0.001819569442180386,0.0016859310969898037,0.001813065914445414,0
Knarzer Beat G,0.9946814335463845,0.001819569442180386,0.0016859310969898037,0.001813065914445414,0
Knarzer Beat Z,0.0017035065711738472,0.0017153387798631962,0.0016788488074395678,0.9949023058415234,3
Knarzer Beat P,0.9946814335463845,0.001819569442180386,0.0016859310969898037,0.001813065914445414,0
Knarzer Beat O,0.9946814335463845,0.001819569442180386,0.0016859310969898037,0.001813065914445414,0
Shuffle Beat I,0.6559956515647232,0.001774799438469816,0.001683988844213844,0.34054556015259313,0
Shuffle Beat J,0.0017849531990737977,0.0017766854501965166,0.0016849122758778705,0.9947534490748519,3
Hard Beat E,0.0018206427191652982,0.9946780728196571,0.0016858262569192247,0.0018154582042583768,1
