,topic0,topic1,topic2,topic3,number
Knarzer Beat D,0.0016856333506284906,0.994814004142087,0.0016856333506284906,0.001814729156655947,1
Hard Beat A,0.0016858384541255822,0.00182355221661521,0.0016858384541255822,0.9948047708751336,3
Knarzer Beat A,0.0016856697325828324,0.9948160648626757,0.0016856697325828324,0.001812595672158734,1
Knarzer Beat H,0.001685646230097653,0.9948153139674731,0.001685646230097653,0.0018133935723316284,1
Knarzer Beat B,0.0016855955818261981,0.9948171144443415,0.0016855955818261981,0.0018116943920061545,1
Knarzer Beat F,0.0016856333506284906,0.994814004142087,0.0016856333506284906,0.001814729156655947,1
Knarzer Beat J,0.001685646230097653,0.9948153139674731,0.001685646230097653,0.0018133935723316284,1
