,topic0,topic1,topic2,topic3,number
Hard Edge 1,0.0016850820538117245,0.994944753840639,0.001685082053558366,0.0016850820519909461,1
DistTB 1,0.0016811424127668713,0.994956572761713,0.001681142412830952,0.0016811424126890841,1
Belzebub 1,0.0016837720114100808,0.9949486839662504,0.0016837720108590216,0.0016837720114805594,1
TB Answer 1,0.001699983101813348,0.9949000507031472,0.0016999831005561727,0.0016999830944834432,1
TB Add 1,0.001679806376580709,0.9949605808703111,0.0016798063766030758,0.0016798063765051702,1
