,topic0,topic1,topic2,topic3,number
Wow 1,0.0017564038770501713,0.0016795437089745205,0.9948845087050009,0.0016795437089745205,2
Smashed 1,0.9948124469854405,0.0016863641606837882,0.0018148246931917612,0.0016863641606837882,0
DistTB B 1,0.001792502305937439,0.0016812110209391026,0.9948450756521844,0.0016812110209391026,2
SequenceA 1,0.9948058709922137,0.00168504509799775,0.0018240388117907282,0.00168504509799775,0
TB Wow 1,0.0017564038770501713,0.0016795437089745205,0.9948845087050009,0.0016795437089745205,2
Bleep 1,0.0017417889399372465,0.0016788334616898478,0.9949005441366832,0.0016788334616898478,2
