,topic0,topic1,topic2,topic3,number
SoftDeep 1,0.9948110552331342,0.0016857509069022262,0.0018174429530612584,0.0016857509069022262,0
EightBass 1,0.001723269743079875,0.0016788072675892485,0.9949191157217417,0.0016788072675892485,2
